,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
323,N/A,N/A,r,N/A,N/A,N/A,N/A,N/A,388.23,N/A,N/A,N/A,3.84,5.22,1.94,2.03,163.55,53820000.0,N/A,N/A,N/A,N/A,N/A,8560000000.000001,1590000000.0,2.03,N/A,6.29,831470000.0,15.60,831470000.0,15.45,8380000000.000001,0.77,40.12,2200000000.0,2.03,0.66,89.18,N/A,3.91,7.05,4330000.0,N/A
324,N/A,N/A,rf,N/A,N/A,N/A,N/A,N/A,16.61,N/A,N/A,N/A,16.52,22.34,0.55,1.66,4.67,960170000.0,N/A,N/A,N/A,N/A,N/A,4520000000.0,5520000000.0,1.66,N/A,0.67,3560000000.0,50.70,3560000000.0,3.71,6820000000.0,16.61,16.61,2900000000.0,1.66,0.42,77.07,N/A,2.24,2.30,25320000.0,N/A
325,N/A,N/A,rhi,N/A,N/A,N/A,N/A,N/A,24.27,N/A,N/A,N/A,6.42,8.84,13.58,1.54,50.12,114600000.0,N/A,N/A,N/A,N/A,N/A,5700000000.0,2530000000.0,1.54,N/A,3.20,59.70,26.90,501480000.0,4.44,280730000.0,1.76,10.25,697740000.0,1.54,2.96,99.36,N/A,10.49,9.70,9120000.0,N/A
326,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,155.02,N/A,N/A,N/A,2.67,4.85,2.10,1.19,70.02,48160000.0,N/A,N/A,N/A,N/A,N/A,5220000000.0,3810000000.0,1.19,N/A,1.84,2710000000.0,65.90,2710000000.0,37.11,3960000000.0,2.59,34.97,486900000.0,1.19,1.02,103.37,N/A,4.66,13.38,5280000.0,N/A
327,N/A,N/A,rok,N/A,N/A,N/A,N/A,N/A,251.31,N/A,N/A,N/A,11.85,17.33,10.42,1.50,56.00,115970000.0,N/A,N/A,N/A,N/A,N/A,6490000000.0,2900000000.0,1.50,N/A,6.58,21.60,16.30,910400000.0,7.85,2740000000.0,1.31,6.64,1270000000.0,1.50,0.67,78.99,N/A,4.35,2.42,2580000.0,N/A
328,N/A,N/A,rop,N/A,N/A,N/A,N/A,N/A,59.38,N/A,N/A,N/A,29.75,27.13,5.23,1.05,51.85,104710000.0,N/A,N/A,N/A,N/A,N/A,5410000000.0,3430000000.0,1.05,N/A,15.27,12.20,1.90,1870000000.0,17.87,5870000000.0,1.27,94.35,1680000000.0,1.05,1.92,96.24,N/A,2.26,1.11,1250000.0,N/A
329,N/A,N/A,rost,N/A,N/A,N/A,N/A,N/A,218.66,N/A,N/A,N/A,4.25,5.38,4.20,0.75,36.14,355920000.0,N/A,N/A,N/A,N/A,N/A,12790000000.0,5320000000.0,0.75,N/A,1.53,94.70,32.50,3790000000.0,10.77,6270000000.0,1.70,8.14,1260000000.0,0.75,2.14,90.69,N/A,1.33,1.08,3670000.0,N/A
330,N/A,N/A,rrc,N/A,N/A,N/A,N/A,N/A,139.55,N/A,N/A,N/A,92.72,114.03,17.43,2.82,8.06,256079999.99999997,N/A,N/A,N/A,N/A,N/A,1980000000.0,891800000.0,2.82,N/A,7.47,3260000000.0,41.70,3260000000.0,3260000000.0,3260000000.0,0.63,9.97,439600000.0,2.82,1.99,115.56,N/A,6.59,25.70,46080000.0,N/A
331,N/A,N/A,sbux,N/A,N/A,N/A,N/A,N/A,0.95,N/A,N/A,N/A,5.56,7.81,4.70,0.81,20.42,1170000000.0,N/A,N/A,N/A,N/A,N/A,24060000000.0,7490000000.0,0.81,N/A,1.13,4200000000.0,38.10,4200000000.0,3.59,25790000000.0,0.95,7.38,1220000000.0,0.81,0.23,70.28,N/A,1.58,1.10,17350000.0,N/A
332,N/A,N/A,schw,N/A,N/A,N/A,N/A,N/A,33.03,N/A,N/A,N/A,31.48,41.84,0.97,1.17,8.06,1290000000.0,N/A,N/A,N/A,N/A,N/A,10380000000.0,10470000000.0,1.17,N/A,2.39,28.40,8.60,67330000000.0,52.24,10180000000.0,0.31,19.83,3380000000.0,1.17,10.45,84.39,N/A,8.52,6.66,79520000.0,N/A
333,N/A,N/A,sd,N/A,N/A,N/A,N/A,N/A,33.76,N/A,N/A,N/A,0.00,18.69,2.92,3.44,4.93,35810000.0,N/A,N/A,N/A,N/A,N/A,175200000.0,156510000.0,3.44,N/A,18.5440,13470000.0,77.90,13470000.0,0.38,33.76,0.57,4.91,72310000.0,3.44,2.72,76.82,N/A,1.69,2.04,0.00,N/A
334,N/A,N/A,se,N/A,N/A,N/A,N/A,N/A,259.60,N/A,N/A,N/A,39.07,35.45,12.45,1.43,6.45,487740000.0,N/A,N/A,N/A,N/A,N/A,2980000000.0,604920000.0,1.43,N/A,2.52,3450000000.0,102.20,3450000000.0,7.07,2320000000.0,1.76,1.75,136580000.0,1.43,1.70,81.07,N/A,7.45,5.61,27190000.0,N/A
335,N/A,N/A,see,N/A,N/A,N/A,N/A,N/A,1.21,N/A,N/A,N/A,8.24,15.53,8.57,1.25,31.33,155680000.0,N/A,N/A,N/A,N/A,N/A,4840000000.0,1560000000.0,1.25,N/A,2.56,201.50,0.80,289700000.0,1.86,3880000000.0,1.21,0.45,554800000.0,1.25,0.68,97.11,N/A,3.08,2.79,4990000.0,N/A
336,N/A,N/A,shw,N/A,N/A,N/A,N/A,N/A,274.16,N/A,N/A,N/A,9.83,14.52,7.72,1.21,194.32,91050000.0,N/A,N/A,N/A,N/A,N/A,17730000000.0,8039999999.999999,1.21,N/A,18.77,26.50,5.60,188100000.0,2.08,10610000000.0,1.10,42.78,2640000000.0,1.21,9.70,81.61,N/A,1.36,0.80,5.36,N/A
337,N/A,N/A,siri,N/A,N/A,N/A,N/A,N/A,0.55,N/A,N/A,N/A,12.98,22.57,9.37,1.14,1.79,4340000000.0,N/A,N/A,N/A,N/A,N/A,7900000000.0,3940000000.0,1.14,N/A,0.23,7.60,5.20,1770000000.0,0.41,9810000000.0,0.55,0.15,2080000000.0,1.14,73.32,17.99,N/A,6.8,14.06,171660000.0,N/A
338,N/A,N/A,sjm,N/A,N/A,N/A,N/A,N/A,66.17,N/A,N/A,N/A,10.78,17.40,5.16,0.24,70.08,114070000.0,N/A,N/A,N/A,N/A,N/A,7990000000.0,1840000000.0,0.24,N/A,7.56,53.30,10.80,396600000.0,3.48,5520000000.0,0.96,73.15,1440000000.0,0.24,4.36,82.26,N/A,11.83,8.30,7810000.0,N/A
339,N/A,N/A,slb,N/A,N/A,N/A,N/A,N/A,139.42,N/A,N/A,N/A,73.90,7.93,2.54,2.12,21.33,1390000000.0,N/A,N/A,N/A,N/A,N/A,29580000000.0,4200000000.0,2.12,N/A,15.77,3590000000.0,35.20,3590000000.0,2.59,17370000000.0,1.23,8.67,5580000000.0,2.12,0.17,79.70,N/A,1.58,1.36,19500000.0,N/A
340,N/A,N/A,slm,N/A,N/A,N/A,N/A,N/A,220.62,N/A,N/A,N/A,42.53,54.57,1.82,1.41,3.15,375240000.0,N/A,N/A,N/A,N/A,N/A,1290000000.0,1320000000.0,1.41,N/A,1.30,13.33,95.60,13.33,13.33,4450000000.0,1.19,4.31,14740000.0,1.41,0.84,111.80,N/A,5.63,6.97,27410000.0,N/A
341,N/A,N/A,sna,N/A,N/A,N/A,N/A,N/A,43.10,N/A,N/A,N/A,15.21,22.17,8.97,1.37,69.03,54470000.0,N/A,N/A,N/A,N/A,N/A,3770000000.0,2089999999.9999998,1.37,N/A,10.38,43.90,21.90,685900000.0,12.59,1510000000.0,3.34,64.02,794800000.0,1.37,1.36,101.41,N/A,13.95,11.62,6240000.0,N/A
342,N/A,N/A,sne,N/A,N/A,N/A,N/A,N/A,40.72,N/A,N/A,N/A,7.99,0.00,2.37,1.12,2.20,1220000000.0,N/A,N/A,N/A,N/A,N/A,2.20,4.76,1.12,N/A,4.76,53.30,2.20,40.72,40.72,40.72,0.93,24.08,N/A,1.12,0.00,8.79,N/A,3.15,0.27,2890000.0,N/A
343,N/A,N/A,so,N/A,N/A,N/A,N/A,N/A,154.37,N/A,N/A,N/A,15.75,26.28,2.88,0.39,19.49,1060000000.0,N/A,N/A,N/A,N/A,N/A,20550000000.0,9630000000.0,0.39,N/A,3.06,31.90,9.40,1880000000.0,1.78,49790000000.0,0.97,26.20,6110000000.0,0.39,0.14,61.25,N/A,2.5,0.90,11970000.0,N/A
344,N/A,N/A,srcl,N/A,N/A,N/A,N/A,N/A,109.22,N/A,N/A,N/A,10.05,8.85,2.66,1.22,33.05,91480000.0,N/A,N/A,N/A,N/A,N/A,3020000000.0,1180000000.0,1.22,N/A,3.32,0.46,29.30,0.46,0.46,2510000000.0,0.90,25.05,384300000.0,1.22,0.28,116.78,N/A,14.78,5.59,5200000.0,N/A
345,N/A,N/A,sre,N/A,N/A,N/A,N/A,N/A,104.22,N/A,N/A,N/A,39.12,27.31,2.93,0.69,39.23,289260000.0,N/A,N/A,N/A,N/A,N/A,11260000000.0,4200000000.0,0.69,N/A,14.53,485.10,13.30,4900000000.0,16.95,26460000000.0,0.80,69.83,2410000000.0,0.69,0.06,87.62,N/A,3.75,2.29,6670000.0,N/A
346,N/A,N/A,stt,N/A,N/A,N/A,N/A,N/A,63.57,N/A,N/A,N/A,20.95,28.05,0.95,1.53,32.96,351960000.0,N/A,N/A,N/A,N/A,N/A,11820000000.0,11700000000.0,1.53,N/A,6.24,18.20,0.50,103560000000.0,293.9,42350000000.0,63.57,63.57,11390000000.0,1.53,0.47,95.31,N/A,2.89,1.71,3310000.0,N/A
347,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,238.67,N/A,N/A,N/A,9.55,13.18,9.72,1.05,40.11,256540000.00000003,N/A,N/A,N/A,N/A,N/A,10510000000.0,2850000000.0,1.05,N/A,3.79,83.10,6.20,1720000000.0,6.69,4260000000.0,1.51,6.96,1710000000.0,1.05,0.68,91.72,N/A,4.45,7.52,16290000.0,N/A
348,N/A,N/A,stz,N/A,N/A,N/A,N/A,N/A,107.00,N/A,N/A,N/A,0.68,32.81,6.11,0.97,42.76,168020000.0,N/A,N/A,N/A,N/A,N/A,8210000000.000001,4290000000.0,0.97,N/A,0.29,302800000.0,6.40,302800000.0,1.58,12170000000.0,1.94,57.86,2640000000.0,0.97,9.88,85.41,N/A,4.74,3.09,6280000.0,N/A
349,N/A,N/A,swk,N/A,N/A,N/A,N/A,N/A,60.17,N/A,N/A,N/A,5.88,10.89,4.17,1.56,90.60,159680000.0,N/A,N/A,N/A,N/A,N/A,13620000000.0,4850000000.0,1.56,N/A,5.24,33.10,16.30,859800000.0,5.38,60.17,1.26,52.98,1360000000.0,1.56,0.28,89.32,N/A,3.13,2.15,4470000.0,N/A
350,N/A,N/A,swn,N/A,N/A,N/A,N/A,N/A,314.34,N/A,N/A,N/A,95.17,14.14,3.80,1.53,4.41,605490000.0,N/A,N/A,N/A,N/A,N/A,2380000000.0,2270000000.0,1.53,N/A,4.2000,0.02,38.50,0.02,0.02,2590000000.0,0.88,1.52,480880000.0,1.53,0.60,118.29,N/A,4.46,33.22,74870000.0,N/A
351,N/A,N/A,syk,N/A,N/A,N/A,N/A,N/A,104.54,N/A,N/A,N/A,11.38,20.75,6.31,0.84,37.54,375610000.0,N/A,N/A,N/A,N/A,N/A,14070000000.0,9800000000.0,0.84,N/A,4.21,6620000000.0,24.30,6620000000.0,17.62,13330000000.0,2.91,33.96,2580000000.0,0.84,7.45,76.43,N/A,2.49,0.98,3450000.0,N/A
352,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,263.96,N/A,N/A,N/A,0.41,3.07,5.01,1.21,103.69,508540000.0,N/A,N/A,N/A,N/A,N/A,52890000000.0,9900000000.0,1.21,N/A,0.42,6080000000.0,42.70,6080000000.0,11.95,15080000000.0,1.84,2.28,1620000000.0,1.21,0.24,82.30,N/A,5.12,3.22,15880000.0,N/A
353,N/A,N/A,t,N/A,N/A,N/A,N/A,N/A,101.43,N/A,N/A,N/A,6.84,16.74,3.35,0.64,24.18,7130000000.0,N/A,N/A,N/A,N/A,N/A,175140000000.0,97050000000.0,0.64,N/A,1.64,65.50,8.90,2.39,2.39,196220000000.0,0.81,24.69,44260000000.0,0.64,0.08,57.41,N/A,3.66,1.62,116450000.0,N/A
354,N/A,N/A,tap,N/A,N/A,N/A,N/A,N/A,68.84,N/A,N/A,N/A,1.62,13.71,2.90,0.88,45.84,196570000.0,N/A,N/A,N/A,N/A,N/A,9930000000.0,4200000000.0,0.88,N/A,0.75,40.80,15.10,780800000.0,3.6,9130000000.0,0.67,60.03,2130000000.0,0.88,11.61,93.04,N/A,5.28,6.85,9410000.0,N/A
355,N/A,N/A,tdc,N/A,N/A,N/A,N/A,N/A,200.58,N/A,N/A,N/A,6.29,0.92,0.50,0.98,16.65,107680000.0,N/A,N/A,N/A,N/A,N/A,1840000000.0,1.03,0.98,N/A,1.03,4.53,4.40,4.53,4.53,200.58,1.06,3.18,216250000.0,0.98,1.40,98.86,N/A,14.24,25.47,15270000.0,N/A
356,N/A,N/A,tel,N/A,N/A,N/A,N/A,N/A,50.50,N/A,N/A,N/A,0.81,14.69,5.81,1.38,36.62,330040000.0,N/A,N/A,N/A,N/A,N/A,12210000000.0,4390000000.0,1.38,N/A,0.30,1.44,24.80,1.44,1.44,4620000000.0,1.43,27.38,2150000000.0,1.38,0.20,95.80,N/A,3.34,1.67,4070000.0000000005,N/A
357,N/A,N/A,ter,N/A,N/A,N/A,N/A,N/A,26.70,N/A,N/A,N/A,22.52,27.35,16.05,1.26,16.61,166030000.0,N/A,N/A,N/A,N/A,N/A,2780000000.0,1340000000.0,1.26,N/A,3.46,94.00,48.70,955220000.0,5.75,465890000.0,2.87,10.52,681480000.0,1.26,0.47,99.56,N/A,4.46,6.84,9280000.0,N/A
358,N/A,N/A,tgt,N/A,N/A,N/A,N/A,N/A,133.23,N/A,N/A,N/A,4.16,6.24,7.37,0.87,167.88,500620000.0,N/A,N/A,N/A,N/A,N/A,84650000000.0,23250000000.0,0.87,N/A,6.92,80.20,24.70,7310000000.0,14.6,16760000000.000002,1.11,25.14,9420000000.0,0.87,0.26,84.60,N/A,2.79,1.77,13740000.0,N/A
359,N/A,N/A,thc,N/A,N/A,N/A,N/A,N/A,724.16,N/A,N/A,N/A,0.37,8.77,3.89,2.46,168.37,105390000.0,N/A,N/A,N/A,N/A,N/A,17540000000.0,6700000000.0,2.46,N/A,0.63,238.50,20.00,3510000000.0,33.34,15890000000.0,1.42,2.45,3310000000.0,2.46,1.63,98.66,N/A,4.47,13.02,8890000.0,N/A
360,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,84.57,N/A,N/A,N/A,6.72,10.19,3.56,0.89,30.35,121370000.0,N/A,N/A,N/A,N/A,N/A,3680000000.0,2760000000.0,0.89,N/A,2.03,76.60,28.70,1040000000.0,8.6,2710000000.0,3.18,26.33,503700000.0,0.89,0.95,100.01,N/A,7.14,7.00,9150000.0,N/A
361,N/A,N/A,tjx,N/A,N/A,N/A,N/A,N/A,336.03,N/A,N/A,N/A,2.11,3.26,2.78,0.74,28.09,1200000000.0,N/A,N/A,N/A,N/A,N/A,33729999999.999996,14850000000.0,0.74,N/A,0.58,6620000000.0,31.80,6620000000.0,5.52,15660000000.0,1.51,3.89,3360000000.0,0.74,0.06,93.09,N/A,2.2,1.01,14540000.0,N/A
362,N/A,N/A,tm,N/A,N/A,N/A,N/A,N/A,111.65,N/A,N/A,N/A,5.77,0.00,1.97,0.79,39.80,1400000000.0,N/A,N/A,N/A,N/A,N/A,39.80,16.36,0.79,N/A,16.36,76.70,39.80,111.65,111.65,111.65,1.08,123.50,N/A,0.79,0.00,0.91,N/A,4.13,0.05,4.05,N/A
363,N/A,N/A,tmo,N/A,N/A,N/A,N/A,N/A,71.45,N/A,N/A,N/A,14.12,17.76,4.87,1.01,65.95,395590000.0,N/A,N/A,N/A,N/A,N/A,26250000000.0,11340000000.0,1.01,N/A,9.24,3.30,9.50,5820000000.0,14.71,21350000000.0,2.62,75.52,5270000000.0,1.01,0.21,93.01,N/A,2.18,0.66,3120000.0,N/A
364,N/A,N/A,trip,N/A,N/A,N/A,N/A,N/A,79.50,N/A,N/A,N/A,9.37,5.10,1.45,1.37,8.01,121640000.0,N/A,N/A,N/A,N/A,N/A,1100000000.0,1470000000.0,1.37,N/A,0.76,5.19,86.00,5.19,5.19,79.50,3.43,6.79,121120000.0,1.37,15.77,89.85,N/A,5.29,13.84,13140000.0,N/A
365,N/A,N/A,trow,N/A,N/A,N/A,N/A,N/A,2.12,N/A,N/A,N/A,35.29,43.31,17.00,1.15,24.82,227550000.0,N/A,N/A,N/A,N/A,N/A,5770000000.0,3230000000.0,1.15,N/A,8.43,14.30,1.40,2060000000.0,9.07,166400000.0,1.92,29.74,2210000000.0,1.15,1.73,74.61,N/A,4.49,2.08,5060000.0,N/A
366,N/A,N/A,trv,N/A,N/A,N/A,N/A,N/A,27.45,N/A,N/A,N/A,5.83,7.89,1.39,0.84,122.72,253190000.0,N/A,N/A,N/A,N/A,N/A,31380000000.0,7850000000.0,0.84,N/A,7.06,6710000000.0,5.50,6710000000.0,26.5,7390000000.0,0.41,106.41,5700000000.0,0.84,0.29,84.50,N/A,3.37,1.83,5090000.0,N/A
367,N/A,N/A,tsla,N/A,N/A,N/A,N/A,N/A,136.52,N/A,N/A,N/A,1.43,4.74,2.17,1.64,28.33,931810000.0,N/A,N/A,N/A,N/A,N/A,25710000000.0,4070000000.0000005,1.64,N/A,0.39,8620000000.0,4.90,8620000000.0,9.24,15480000000.0,1.25,10.60,2700000000.0,1.64,20.51,57.93,N/A,0.91,8.28,63550000.0,N/A
368,N/A,N/A,tsn,N/A,N/A,N/A,N/A,N/A,83.78,N/A,N/A,N/A,4.26,7.54,5.89,0.62,117.38,294250000.0,N/A,N/A,N/A,N/A,N/A,42610000000.0,5090000000.0,0.62,N/A,4.97,22.00,7.90,1370000000.0,3.75,12570000000.0,1.80,40.79,3690000000.0,0.62,2.50,90.30,N/A,2.06,1.84,2950000.0,N/A
369,N/A,N/A,txn,N/A,N/A,N/A,N/A,N/A,88.91,N/A,N/A,N/A,36.88,38.90,19.11,1.13,14.74,915940000.0,N/A,N/A,N/A,N/A,N/A,13690000000.0,9160000000.0,1.13,N/A,5.33,5.70,11.70,4960000000.0,5.41,6800000000.0,3.92,8.35,6320000000.0,1.13,0.24,88.83,N/A,3.56,1.84,15450000.0,N/A
370,N/A,N/A,ua,N/A,N/A,N/A,N/A,N/A,160.10,N/A,N/A,N/A,15.21,0.62,0.36,1.17,9.96,231500000.0,N/A,N/A,N/A,N/A,N/A,4510000000.0,2470000000.0,1.17,N/A,1.51,1080000000.0,40.60,1080000000.0,2.38,2280000000.0,1.91,3.13,86910000.0,1.17,15.29,74.44,N/A,3.99,4.94,25040000.0,N/A
371,N/A,N/A,unm,N/A,N/A,N/A,N/A,N/A,35.91,N/A,N/A,N/A,8.12,12.03,1.32,1.69,57.95,203560000.0,N/A,N/A,N/A,N/A,N/A,11890000000.0,3430000000.0,1.69,N/A,4.70,5.60,0.10,2770000000.0,13.6,3790000000.0,7.69,51.90,1650000000.0,1.69,0.63,102.98,N/A,2.73,3.87,7250000.0,N/A
372,N/A,N/A,unp,N/A,N/A,N/A,N/A,N/A,182.76,N/A,N/A,N/A,27.54,40.57,8.18,1.03,29.34,678840000.0,N/A,N/A,N/A,N/A,N/A,20200000000.0,11890000000.0,1.03,N/A,8.06,27.90,24.20,2770000000.0,4.07,30070000000.0,0.96,24.24,9100000000.0,1.03,0.14,83.46,N/A,1.74,0.76,4059999.9999999995,N/A
373,N/A,N/A,ups,N/A,N/A,N/A,N/A,N/A,684.80,N/A,N/A,N/A,5.66,7.28,6.13,1.00,89.61,707080000.0,N/A,N/A,N/A,N/A,N/A,77380000000.0,13640000000.0,1.00,N/A,5.03,4.90,13.40,9250000000.0,10.71,29970000000.0,1.24,5.06,10380000000.0,1.00,0.01,71.23,N/A,2.67,2.00,18080000.0,N/A
374,N/A,N/A,urbn,N/A,N/A,N/A,N/A,N/A,110.51,N/A,N/A,N/A,0.81,0.78,0.52,1.52,36.25,97780000.0,N/A,N/A,N/A,N/A,N/A,3550000000.0,1250000000.0,1.52,N/A,0.30,43.00,16.50,663360000.0,6.78,1490000000.0,1.65,13.81,327860000.0,1.52,41.28,80.30,N/A,3.72,12.42,7630000.0,N/A
375,N/A,N/A,usb,N/A,N/A,N/A,N/A,N/A,30.45,N/A,N/A,N/A,27.09,34.95,1.03,1.12,12.60,1510000000.0,N/A,N/A,N/A,N/A,N/A,19390000000.0,21140000000.0,1.12,N/A,3.20,62.20,24.90,56740000000.0,37.67,64420000000.0,30.45,30.45,4490000000.0,1.12,0.09,77.75,N/A,1.86,0.79,15180000.0,N/A
376,N/A,N/A,v,N/A,N/A,N/A,N/A,N/A,60.42,N/A,N/A,N/A,51.37,65.95,12.73,0.90,10.64,1690000000.0,N/A,N/A,N/A,N/A,N/A,22880000000.0,22260000000.0,0.90,N/A,5.26,23.50,17.20,16640000000.0,7.82,21460000000.0,1.55,14.20,12390000000.0,0.90,0.20,98.06,N/A,3.42,1.56,36690000.0,N/A
377,N/A,N/A,vale,N/A,N/A,N/A,N/A,N/A,70.91,N/A,N/A,N/A,4.18,0.00,5.61,0.85,12.30,5130000000.0,N/A,N/A,N/A,N/A,N/A,12.30,64800000000.0,0.85,N/A,0.12,70.91,12.30,70.91,70.91,70.91,1.82,6.71,N/A,0.85,0.08,19.29,N/A,1.32,0.83,42880000.0,N/A
378,N/A,N/A,var,N/A,N/A,N/A,N/A,N/A,37.10,N/A,N/A,N/A,8.24,13.73,6.51,1.19,35.19,90940000.0,N/A,N/A,N/A,N/A,N/A,3200000000.0,1370000000.0,1.19,N/A,2.88,108.20,15.90,769200000.0,8.46,720900000.0,1.32,21.27,335300000.0,1.19,0.38,94.63,N/A,1.64,3.62,4090000.0,N/A
379,N/A,N/A,vfc,N/A,N/A,N/A,N/A,N/A,231.22,N/A,N/A,N/A,3.62,10.19,5.30,0.97,24.18,389650000.0,N/A,N/A,N/A,N/A,N/A,9510000000.0,5820000000.0,0.97,N/A,0.87,2850000000.0,47.50,2850000000.0,7.3,6730000000.0,3.65,7.47,937520000.0,0.97,7.31,81.29,N/A,5.18,2.81,10070000.0,N/A
380,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,67.47,N/A,N/A,N/A,1.30,2.63,2.69,1.83,202.25,407760000.0,N/A,N/A,N/A,N/A,N/A,82620000000.0,6530000000.0,1.83,N/A,2.60,104.70,65.10,2320000000.0,5.69,13920000000.0,1.75,48.67,3820000000.0,1.83,0.35,80.83,N/A,2.03,2.01,7450000.0,N/A
381,N/A,N/A,vmc,N/A,N/A,N/A,N/A,N/A,64.60,N/A,N/A,N/A,12.60,18.36,5.22,0.82,37.56,132449999.99999999,N/A,N/A,N/A,N/A,N/A,4980000000.0,1260000000.0,0.82,N/A,4.70,6.30,0.40,816760000.0,6.17,3720000000.0,1.95,43.52,1110000000.0,0.82,0.19,94.65,N/A,2.92,2.30,2190000.0,N/A
382,N/A,N/A,vno,N/A,N/A,N/A,N/A,N/A,111.32,N/A,N/A,N/A,20.79,22.35,1.40,1.28,9.41,191150000.0,N/A,N/A,N/A,N/A,N/A,1800000000.0,1080000000.0,1.28,N/A,1.69,1770000000.0,26.40,1770000000.0,9.25,8510000000.0,8.00,29.32,637400000.0,1.28,8.44,90.60,N/A,8.08,10.50,14330000.0,N/A
383,N/A,N/A,vrsn,N/A,N/A,N/A,N/A,N/A,1.23,N/A,N/A,N/A,63.32,65.60,27.53,0.85,10.67,114850000.0,N/A,N/A,N/A,N/A,N/A,1250000000.0,1050000000.0,0.85,N/A,6.74,3.40,2.60,1190000000.0,10.4,1790000000.0,1.23,12.18,797090000.0,0.85,1.32,94.55,N/A,2.19,1.69,1530000.0,N/A
384,N/A,N/A,vtr,N/A,N/A,N/A,N/A,N/A,120.19,N/A,N/A,N/A,10.55,18.63,1.91,1.10,10.49,373090000.0,N/A,N/A,N/A,N/A,N/A,3910000000.0,2049999999.9999998,1.10,N/A,1.09,992820000.0,0.30,992820000.0,2.66,12780000000.0,1.35,27.64,1430000000.0,1.10,0.41,91.86,N/A,4.36,4.30,10410000.0,N/A
385,N/A,N/A,wat,N/A,N/A,N/A,N/A,N/A,1.82,N/A,N/A,N/A,22.61,29.11,15.15,0.94,35.88,61930000.0,N/A,N/A,N/A,N/A,N/A,2280000000.0,1400000000.0,0.94,N/A,8.07,14.90,13.20,355760000.0,5.74,1790000000.0,1.82,3.10,690730000.0,0.94,0.56,102.99,N/A,4.96,5.25,3180000.0,N/A
386,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,104.21,N/A,N/A,N/A,1.49,2.20,0.88,1.49,56.16,299700000.0,N/A,N/A,N/A,N/A,N/A,16739999999.999998,3780000000.0,1.49,N/A,0.84,3050000000.0,18.00,3050000000.0,10.07,9950000000.0,2.05,31.63,733880000.0,1.49,0.36,86.43,N/A,1.58,3.81,7690000.0,N/A
387,N/A,N/A,wfc,N/A,N/A,N/A,N/A,N/A,38.64,N/A,N/A,N/A,9.19,8.03,0.30,1.08,14.95,4120000000.0,N/A,N/A,N/A,N/A,N/A,62660000000.0,82460000000.0,1.08,N/A,0.93,451840000000.0,60.50,451840000000.0,109.67,307900000000.0,38.64,38.64,32840000000.000004,1.08,0.13,77.48,N/A,0.74,0.80,30110000.0,N/A
388,N/A,N/A,wgo,N/A,N/A,N/A,N/A,N/A,63.83,N/A,N/A,N/A,2.37,4.96,5.09,2.15,65.69,33700000.0,N/A,N/A,N/A,N/A,N/A,2150000000.0,307420000.0,2.15,N/A,1.54,152480000.0,23.90,152480000.0,4.53,500960000.0,2.31,23.34,213340000.0,2.15,4.38,94.14,N/A,3.88,7.72,0.48,N/A
389,N/A,N/A,whr,N/A,N/A,N/A,N/A,N/A,194.57,N/A,N/A,N/A,4.42,6.14,3.75,2.10,298.81,62290000.0,N/A,N/A,N/A,N/A,N/A,18840000000.0,3530000000.0,2.10,N/A,13.13,47.80,22.10,2550000000.0,40.87,7640000000.0,0.98,48.68,1310000000.0,2.10,0.45,101.03,N/A,8.05,14.55,7120000.0,N/A
390,N/A,N/A,wmt,N/A,N/A,N/A,N/A,N/A,86.51,N/A,N/A,N/A,3.30,4.62,6.62,0.29,191.16,2830000000.0,N/A,N/A,N/A,N/A,N/A,542030000000.0,129360000000.00002,0.29,N/A,6.27,79.40,5.60,16910000000.0,5.97,70240000000.0,0.79,26.57,33030000000.0,0.29,50.91,30.95,N/A,2.28,1.02,12250000.0,N/A
391,N/A,N/A,wpx,N/A,N/A,N/A,N/A,N/A,76.28,N/A,N/A,N/A,38.02,20.44,2.91,3.41,4.53,560990000.0,N/A,N/A,N/A,N/A,N/A,2100000000.0,1730000000.0,3.41,N/A,1.72,0.73,50.10,0.73,0.73,3580000000.0,1.12,8.37,1160000000.0,3.41,1.26,104.18,N/A,3.21,6.98,28700000.0,N/A
