,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
283,N/A,N/A,ntap,N/A,N/A,N/A,N/A,N/A,028.87,N/A,N/A,N/A,14.47,17.43,7.36,1.30,24.30,221350000.0,N/A,N/A,N/A,N/A,N/A,5480000000.0,3620000000.0,1.30,N/A,3.49,25.20,5.40,3780000000.0,17.03,2920000000.0,1.62,1.28,793630000.0,1.30,0.31,98.98,N/A,6.41,12.39,14410000.0,N/A
284,N/A,N/A,ntrs,N/A,N/A,N/A,N/A,N/A,50.44,N/A,N/A,N/A,23.59,30.51,1.03,1.04,28.83,208090000.0,N/A,N/A,N/A,N/A,N/A,6060000000.0,6090000000.0,1.04,N/A,6.43,19.50,4.80,11010000000.0,52.91,14030000000.0,50.44,50.44,2710000000.0,1.04,0.63,86.08,N/A,3.97,2.32,3840000.0,N/A
285,N/A,N/A,nue,N/A,N/A,N/A,N/A,N/A,51.20,N/A,N/A,N/A,2.49,6.63,4.62,1.47,67.71,301900000.0,N/A,N/A,N/A,N/A,N/A,20550000000.0,2700000000.0,1.47,N/A,1.67,71.80,26.60,3040000000.0,10.06,5440000000.0,4.39,33.77,2970000000.0,1.47,0.65,81.57,N/A,2.12,1.67,4110000.0000000005,N/A
286,N/A,N/A,nus,N/A,N/A,N/A,N/A,N/A,70.65,N/A,N/A,N/A,6.33,9.52,7.64,1.40,42.26,51390000.0,N/A,N/A,N/A,N/A,N/A,2300000000.0,1840000000.0,1.40,N/A,2.67,9.70,1.80,386300000.0,7.52,559540000.0,1.62,15.38,269540000.0,1.40,2.97,78.95,N/A,2.9,3.83,2049999.9999999998,N/A
287,N/A,N/A,nvda,N/A,N/A,N/A,N/A,N/A,55.30,N/A,N/A,N/A,25.93,28.56,11.67,1.53,21.33,590760000.0,N/A,N/A,N/A,N/A,N/A,13060000000.0,6770000000.0,1.53,N/A,5.44,12.70,49.90,10980000000.0,17.8,7700000000.0,6.09,22.55,5580000000.0,1.53,4.15,69.23,N/A,0.63,0.94,7450000.0,N/A
288,N/A,N/A,nwl,N/A,N/A,N/A,N/A,N/A,193.77,N/A,N/A,N/A,11.24,7.91,2.85,1.04,21.69,424300000.0,N/A,N/A,N/A,N/A,N/A,9190000000.0,3240000000.0,1.04,N/A,2.44,13.30,14.90,1.46,1.46,6810000000.0,1.47,8.23,1180000000.0,1.04,0.78,90.56,N/A,3.84,4.51,12280000.0,N/A
289,N/A,N/A,nwsa,N/A,N/A,N/A,N/A,N/A,30.64,N/A,N/A,N/A,14.09,4.13,1.55,1.56,15.32,388860000.0,N/A,N/A,N/A,N/A,N/A,9010000000.0,4080000000.0,1.56,N/A,2.16,1520000000.0,22.00,1520000000.0,2.58,2570000000.0,1.29,12.88,485880000.0,1.56,0.58,101.46,N/A,4.16,2.07,8170000.0,N/A
290,N/A,N/A,oi,N/A,N/A,N/A,N/A,N/A,492.86,N/A,N/A,N/A,9.48,7.20,2.78,1.72,40.23,156960000.0,N/A,N/A,N/A,N/A,N/A,6280000000.0,1210000000.0,1.72,N/A,3.81,1070000000.0000001,19.20,1070000000.0000001,6.8,6510000000.0,1.60,0.31,613370000.0,1.72,1.04,95.37,N/A,4.16,4.06,8660000.0,N/A
291,N/A,N/A,oke,N/A,N/A,N/A,N/A,N/A,234.87,N/A,N/A,N/A,7.13,20.97,5.35,1.99,21.00,444200000.0,N/A,N/A,N/A,N/A,N/A,8720000000.0,3380000000.0,1.99,N/A,1.49,56.90,32.40,945730000.0,2.13,14660000000.0,1.71,14.05,1720000000.0,1.99,0.67,75.92,N/A,1.73,2.60,12940000.0,N/A
292,N/A,N/A,orcl,N/A,N/A,N/A,N/A,N/A,579.63,N/A,N/A,N/A,25.94,36.22,7.89,0.82,12.17,3150000000.0,N/A,N/A,N/A,N/A,N/A,39070000000.0,31130000000.0,0.82,N/A,3.08,16.70,6.30,43060000000.0,14.03,73710000000.0,3.03,3.94,13140000000.0,0.82,36.36,52.78,N/A,3.45,1.76,33509999.999999996,N/A
