,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
12,2020_09_13,N/A,adsk,N/A,N/A,N/A,N/A,N/A,095.39,140.00,14.33,743.53,10.26,15.23,6.35,50040000000.0,16.13,50040000000.0,50600000000.0,62.11,1.89,14.29,81.94,14.29,2980000000.0,50040000000.0,N/A,1.63,144.30,14.60,1520000000.0,6.93,2080000000.0,0.84,0.31,1390000000.0,50040000000.0,0.15,97.69,N/A,2.19,1.21,3100000.0,N/A
13,2020_09_13,N/A,adt,N/A,N/A,N/A,N/A,N/A,365.43,7.28,1.55,3.02,12.47,4.07,0.82,8430000000.0,7.06,8430000000.0,18130000000.0,7.28,1.55,3.42,9.76,3.42,3740000000.0,8430000000.0,N/A,0.88,45470000.0,3.70,45470000.0,0.06,10210000000.0,0.53,3.63,1520000000.0,8430000000.0,1.84,95.27,N/A,1.37,15.66,20080000.0,N/A
14,2020_09_13,N/A,aee,N/A,N/A,N/A,N/A,N/A,127.23,22.36,3.26,2.30,15.25,25.08,3.00,18890000000.0,22.55,18890000000.0,29530000000.0,20.33,2.71,5.08,11.54,5.08,2740000000.0,18890000000.0,N/A,3.42,35.80,1.50,0.03,0.03,10650000000.0,0.81,33.29,1980000000.0,18890000000.0,0.43,77.00,N/A,10.44,5.70,13260000.0,N/A
15,2020_09_13,N/A,aeo,N/A,N/A,N/A,N/A,N/A,212.34,9.44,0.58,2.19,4.86,0.42,0.29,2190000000.0,22.88,2190000000.0,3410000000.0,30.03,0.58,0.89,22.22,0.89,1520000000.0,2190000000.0,N/A,1.12,898790000.0,15.10,898790000.0,5.41,2120000000.0,1.88,6.01,261399999.99999997,2190000000.0,7.03,103.57,N/A,5.64,28.32,36160000.0,N/A
16,2020_09_13,N/A,aep,N/A,N/A,N/A,N/A,N/A,161.13,20.50,2.57,1.95,12.54,19.79,2.50,38960000000.0,30.68,38960000000.0,71190000000.0,16.89,2.04,4.69,12.09,4.69,6500000000.0,38960000000.0,N/A,3.83,12.90,2.20,541100000.0,1.09,32780000000.0,0.42,40.34,4219999999.9999995,38960000000.0,0.01,76.46,N/A,2.8,1.65,5880000.0,N/A
17,2020_09_13,N/A,aes,N/A,N/A,N/A,N/A,N/A,454.55,62.00,1.22,4.69,2.01,21.89,3.88,11550000000.0,14.45,11550000000.0,31080000000.0,11.42,1.76,3.23,10.40,3.23,2350000000.0,11550000000.0,N/A,0.28,1840000000.0,10.70,1840000000.0,2.77,21370000000.0,1.10,3.70,2200000000.0,11550000000.0,0.37,97.93,N/A,2.96,2.99,12780000.0,N/A
18,2020_09_13,N/A,afl,N/A,N/A,N/A,N/A,N/A,34.15,9.05,1.23,0.88,13.49,18.95,1.67,25810000000.0,29.78,25810000000.0,28060000000.0,8.08,1.23,1.30,0.82,1.30,7760000000.0,25810000000.0,N/A,4.00,1.50,1.90,6300000000.0,8.84,10050000000.0,0.56,41.21,5700000000.0,25810000000.0,8.52,64.68,N/A,2.93,1.26,1.12,N/A
19,2020_09_13,N/A,agn,N/A,N/A,N/A,N/A,N/A,N/A,11.89,3.94,1.10,13650000000.0,13650000000.0,13650000000.0,63660000000.0,13650000000.0,63660000000.0,81150000000.0,11.89,2.05,5.04,28.44,5.04,13650000000.0,63660000000.0,N/A,N/A,N/A,13650000000.0,N/A,N/A,N/A,N/A,N/A,N/A,63660000000.0,2.96,2.96,N/A,2.96,2.96,2.96,N/A
20,2020_09_13,N/A,aig,N/A,N/A,N/A,N/A,N/A,62.53,11.02,0.51,0.39,9.45,11.78,0.65,24260000000.0,55.59,24260000000.0,60610000000.0,6.19,0.33,1.24,1.39,1.24,15380000000.0,24260000000.0,N/A,5.29,24530000000.0,25.20,24530000000.0,28.47,39280000000.0,0.77,71.68,1670000000.0,24260000000.0,0.10,95.68,N/A,1.93,1.46,15880000.0,N/A
21,2020_09_13,N/A,aiv,N/A,N/A,N/A,N/A,N/A,260.89,29.42,5.86,3.12,20.07,15.90,1.34,5300000000.0,6.09,5300000000.0,9790000000.0,714.29,839.32,10.84,12.90,10.84,603880000.0,5300000000.0,N/A,1.22,39.10,2.40,398410000.0,2.68,4890000000.0,0.63,11.41,388790000.0,5300000000.0,0.84,101.94,N/A,2.13,1.77,1900000.0,N/A
22,2020_09_13,N/A,aiz,N/A,N/A,N/A,N/A,N/A,62.04,18.64,0.72,1.18,4.06,6.76,0.97,7060000000.0,163.71,7060000000.0,7130000000.0,11.49,0.72,0.70,0.62,0.70,934300000.0,7060000000.0,N/A,6.32,23.60,2.70,2360000000.0,39.57,3710000000.0,0.60,100.13,979900000.0,7060000000.0,0.84,98.12,N/A,5.01,3.59,1840000.0,N/A
23,2020_09_13,N/A,akam,N/A,N/A,N/A,N/A,N/A,68.77,32.22,5.74,4.43,17.82,21.15,6.40,17300000000.0,18.75,17300000000.0,18610000000.0,19.01,1.61,6.12,16.79,6.12,1910000000.0,17300000000.0,N/A,3.30,42.10,12.70,1370000000.0,8.44,2690000000.0,3.34,24.01,1100000000.0,17300000000.0,2.47,92.94,N/A,7.59,7.43,9290000.0,N/A
24,2020_09_13,N/A,all,N/A,N/A,N/A,N/A,N/A,24.58,6.97,0.69,1.16,10.28,13.79,3.15,28930000000.0,136.98,28930000000.0,36980000000.0,8.17,2.04,0.84,0.73,0.84,12490000000.0,28930000000.0,N/A,13.35,46.90,0.50,5890000000.0,18.86,6630000000.0,0.50,79.92,5940000000.0,28930000000.0,0.42,80.77,N/A,1.97,1.11,4350000.0,N/A
25,2020_09_13,N/A,altr,N/A,N/A,N/A,N/A,N/A,61.30,555.56,6.17,7.96,4.76,0.32,0.12,2830000000.0,6.27,2830000000.0,2800000000.0,555.56,6.17,6.16,106.32,6.16,326320000.0,2830000000.0,N/A,0.31,250540000.0,7.70,250540000.0,3.43,217590000.0,2.41,4.86,32930000.0,2830000000.0,4.36,95.94,N/A,20.75,11.04,5040000.0,N/A
26,2020_09_13,N/A,alxn,N/A,N/A,N/A,N/A,N/A,26.87,28.27,4.26,2.21,15.28,46.40,10.27,23230000000.0,24.97,23230000000.0,22990000000.0,8.85,0.70,4.15,25.54,4.15,4600000000.0,23230000000.0,N/A,3.81,2850000000.0,20.10,2850000000.0,13.01,2820000000.0,4.79,47.88,2460000000.0,23230000000.0,0.30,95.39,N/A,2.30,2.30,4410000.0,N/A
27,2020_09_13,N/A,amat,N/A,N/A,N/A,N/A,N/A,59.63,16.02,3.14,5.26,19.58,24.66,12.54,50340000000.0,17.75,50340000000.0,51290000000.0,12.18,0.93,3.15,11.73,3.15,6390000000.0,50340000000.0,N/A,3.44,47.30,23.40,4760000000.0,5.21,5710000000.0,2.86,10.48,3320000000.0,50340000000.0,0.36,85.35,N/A,2.02,1.70,17170000.0,N/A
28,2020_09_13,N/A,amd,N/A,N/A,N/A,N/A,N/A,27.05,151.88,12.20,28.06,7.96,11.56,9.46,92730000000.0,6.68,92730000000.0,91850000000.0,47.39,1.36,12.01,89.17,12.01,2870000000.0,92730000000.0,N/A,0.51,348.60,26.20,1780000000.0,1.51,27.05,2.10,2.82,578370000.0,92730000000.0,0.60,78.19,N/A,0.76,3.80,51330000.0,N/A
29,2020_09_13,N/A,amgn,N/A,N/A,N/A,N/A,N/A,321.08,20.05,6.03,13.49,30.04,38.06,9.30,143830000000.0,41.05,143830000000.0,166630000000.0,14.75,1.61,6.86,13.22,6.86,19010000000.0,143830000000.0,N/A,12.24,17.30,5.70,11420000000.0,19.5,34220000000.0,2.18,18.18,10870000000.0,143830000000.0,0.22,78.93,N/A,2.28,1.06,4920000.0,N/A
30,2020_09_13,N/A,amp,N/A,N/A,N/A,N/A,N/A,85.48,7.77,1.60,2.78,20.50,30.40,1.53,18050000000.0,95.21,18050000000.0,14870000000.0,8.18,2.10,1.22,1.77,1.22,6330000000.0,18050000000.0,N/A,19.25,8730000000.0,16.80,8730000000.0,72.63,5560000000.0,2.20,53.89,5890000000.0,18050000000.0,0.25,88.02,N/A,4.72,2.64,2970000.0,N/A
31,2020_09_13,N/A,amt,N/A,N/A,N/A,N/A,N/A,690.83,57.63,14.23,30.43,24.70,38.63,4.66,110170000000.0,17.57,110170000000.0,139930000000.0,49.02,2.51,17.98,30.83,17.98,5360000000.0,110170000000.0,N/A,4.31,4.00,1.20,2040000000.0,4.59,31800000000.0,0.54,8.16,3720000000.0,110170000000.0,0.34,94.05,N/A,2.29,0.80,3090000.0,N/A
32,2020_09_13,N/A,amzn,N/A,N/A,N/A,N/A,N/A,123.97,122.03,5.00,21.57,4.10,5.20,4.65,972910000000.0,646.80,972910000000.0,981090000000.0,60.61,1.25,4.96,39.10,4.96,114990000000.0,972910000000.0,N/A,26.04,99.70,40.20,71390000000.0,142.53,91400000000.0,1.18,147.16,51220000000.0,972910000000.0,15.12,57.69,N/A,0.49,0.48,3090000.0,N/A
33,2020_09_13,N/A,an,N/A,N/A,N/A,N/A,N/A,157.07,17.30,0.26,1.63,1.51,3.75,4.70,5100000000.0,225.81,5100000000.0,9770000000.0,10.00,1.02,0.48,11.57,0.48,3520000000.0,5100000000.0,N/A,3.39,177.60,15.20,257300000.0,2.95,4930000000.0,0.92,35.98,1240000000.0,5100000000.0,11.64,84.45,N/A,5.19,6.83,3920000.0,N/A
34,2020_09_13,N/A,anf,N/A,N/A,N/A,N/A,N/A,214.43,17.35,0.28,1.11,4.61,0.18,0.11,893810000.0,51.48,893810000.0,1870000000.0,7.97,0.28,0.58,15.07,0.58,2150000000.0,893810000.0,N/A,2.38,766720000.0,17.00,766720000.0,12.29,1740000000.0,1.50,12.92,432970000.0,893810000.0,2.14,108.41,N/A,3.95,26.31,13290000.0,N/A
35,2020_09_13,N/A,aon,N/A,N/A,N/A,N/A,N/A,250.39,26.87,4.34,13.00,16.08,25.82,5.73,46800000000.0,46.84,46800000000.0,40850000000.0,18.87,1.56,3.72,13.35,3.72,5170000000.0,46800000000.0,N/A,7.48,43.70,4.20,1310000000.0,5.65,9250000000.0,1.09,15.56,2690000000.0,46800000000.0,0.95,93.77,N/A,10.38,7.35,15020000.0,N/A
36,2020_09_13,N/A,apa,N/A,N/A,N/A,N/A,N/A,608.25,86.96,0.89,2.82,158.72,125.40,22.73,4530000000.0,13.35,4530000000.0,13340000000.0,86.96,0.89,2.61,2.57,2.61,4630000000.0,4530000000.0,N/A,21.21,0.36,52.10,0.36,0.36,8940000000.0,0.97,4.33,2750000000.0,4530000000.0,0.46,99.95,N/A,1.74,4.40,14340000.0,N/A
37,2020_09_13,N/A,apd,N/A,N/A,N/A,N/A,N/A,71.45,34.25,7.44,5.59,21.58,25.64,6.38,65209999999.99999,39.91,65209999999.99999,66980000000.00001,29.85,2.08,7.59,17.87,7.59,2940000000.0,65209999999.99999,N/A,8.56,8.50,7.10,6470000000.0,29.3,8590000000.0,3.48,52.78,2980000000.0,65209999999.99999,0.25,86.04,N/A,1.73,0.71,2320000.0,N/A
38,2020_09_13,N/A,aph,N/A,N/A,N/A,N/A,N/A,78.46,29.12,3.95,6.58,13.56,18.67,8.66,31170000000.0,27.28,31170000000.0,33619999999.999996,26.81,2.90,4.15,18.64,4.15,2620000000.0,31170000000.0,N/A,3.59,10.60,1.40,1310000000.0,4.4,3770000000.0,2.59,15.89,1590000000.0,31170000000.0,0.52,99.24,N/A,1.88,0.89,2730000.0,N/A
39,2020_09_13,N/A,arna,N/A,N/A,N/A,N/A,N/A,4.78,6.40,709.53,2.94,0.00,926.83,17.42,3650000000.0,0.09,3650000000.0,2530000000.0,6.05,709.53,547.47,7.47,547.47,574930000.0,3650000000.0,N/A,6.82,1170000000.0,574930000.0,1170000000.0,20.31,59340000.0,28.75,21.58,285640000.0,3650000000.0,0.15,84.16,N/A,8.17,6.69,3920000.0,N/A
40,2020_09_13,N/A,ati,N/A,N/A,N/A,N/A,N/A,83.26,5.01,0.31,0.62,6.22,6.51,2.86,1080000000.0,29.83,1080000000.0,2069999999.9999998,23.64,1.23,0.55,24.19,0.55,637800000.0,1080000000.0,N/A,1.86,539100000.0,28.70,539100000.0,4.25,1530000000.0,3.58,13.68,320100000.0,1080000000.0,0.65,108.50,N/A,4.61,11.27,10410000.0,N/A
41,2020_09_13,N/A,atvi,N/A,N/A,N/A,N/A,N/A,19.56,33.80,8.75,4.46,25.94,30.75,7.12,61050000000.0,9.08,61050000000.0,57390000000.0,24.33,1.92,8.21,22.41,8.21,4400000000.0,61050000000.0,N/A,2.34,76.80,38.40,6460000000.0,8.37,2680000000.0,3.02,17.73,2140000000.0000002,61050000000.0,1.37,92.22,N/A,1.39,1.33,9930000.0,N/A
42,2020_09_13,N/A,avb,N/A,N/A,N/A,N/A,N/A,71.86,27.19,9.07,1.97,33.25,34.95,2.70,21470000000.0,16.90,21470000000.0,28960000000.0,32.15,5.08,12.27,16.99,12.27,1560000000.0,21470000000.0,N/A,5.60,1.50,0.10,322820000.0,2.3,7810000000.0,1.05,77.39,1310000000.0,21470000000.0,0.27,96.54,N/A,4.45,3.41,2840000.0,N/A
43,2020_09_13,N/A,avp,N/A,N/A,N/A,N/A,N/A,1.20,13.66,0.50,0.86,0.46,6.56,6.61,2480000000.0,11.19,2480000000.0,4269999999.9999995,13.66,0.50,0.86,14.01,0.86,3300000000.0,2480000000.0,N/A,0.12,6.60,16.60,564200000.0,1.27,1890000000.0,1.20,1.99,40900000.0,2480000000.0,1.01,80.68,N/A,2.68,4.59,16450000.0,N/A
44,2020_09_13,N/A,avy,N/A,N/A,N/A,N/A,N/A,186.93,18.84,1.45,7.98,7.68,11.48,8.82,9680000000.0,81.22,9680000000.0,11690000000.0,17.73,4.80,1.72,13.10,1.72,1900000000.0,9680000000.0,N/A,6.14,44.40,14.90,293600000.0,3.52,2270000000.0,1.22,14.55,691700000.0,9680000000.0,0.68,92.06,N/A,1.93,1.12,2.32,N/A
45,2020_09_13,N/A,axp,N/A,N/A,N/A,N/A,N/A,239.99,21.28,2.84,3.93,11.89,16.04,2.11,82750000000.0,42.17,82750000000.0,21.28,15.82,1.74,1.14,1.14,1.14,27320000000.0,82750000000.0,N/A,4.86,85.40,38.70,41700000000.0,51.79,50550000000.0,1.57,26.16,2069999999.9999998,82750000000.0,0.10,87.09,N/A,1.70,1.70,9250000.0,N/A
46,2020_09_13,N/A,azo,N/A,N/A,N/A,N/A,N/A,0.94,19.12,2.45,2.98,12.90,18.06,12.02,28410000000.0,508.05,28410000000.0,36030000000.0,17.24,1.62,2.98,13.97,2.98,6370000000.0,28410000000.0,N/A,64.01,15.50,0.10,543500000.0,23.27,8320000000.0,0.94,69.93,2140000000.0000002,28410000000.0,0.41,96.51,N/A,2.44,1.71,0.00,N/A
47,2020_09_13,N/A,ba,N/A,N/A,N/A,N/A,N/A,1.41,49.66,1.34,1.77,4.27,5.01,1.44,89010000000.0,117.73,89010000000.0,117960000000.0,34.48,5.91,1.77,46.73,1.77,4760000000.0,89010000000.0,N/A,5.03,32430000000.0,25.00,32430000000.0,57.45,61380000000.0,1.41,20.67,14230000000.0,89010000000.0,0.13,66.60,N/A,0.31,1.63,9880000.0,N/A
48,2020_09_13,N/A,bac,N/A,N/A,N/A,N/A,N/A,27.96,12.14,2.51,0.90,26.53,31.39,0.79,217820000000.0,8.54,217820000000.0,12.14,11.95,1.66,1.55,1.55,1.55,85580000000.0,217820000000.0,N/A,2.08,51.90,22.60,909360000000.0,104.96,522049999999.99994,27.96,27.96,69440000000.0,217820000000.0,0.10,73.24,N/A,1.4,1.00,81980000.0,N/A
49,2020_09_13,N/A,bax,N/A,N/A,N/A,N/A,N/A,86.75,46.44,3.77,5.18,8.10,17.08,6.58,42080000000.0,22.48,42080000000.0,44860000000.0,23.09,2.58,3.93,24.14,3.93,4920000000.0,42080000000.0,N/A,1.79,21.40,4.10,4080000000.0,8.07,7080000000.0,2.97,15.93,2180000000.0,42080000000.0,0.13,87.48,N/A,1.11,0.76,4350000.0,N/A
50,2020_09_13,N/A,bbby,N/A,N/A,N/A,N/A,N/A,285.20,10.03,0.15,1.03,5.51,4.30,3.39,1510000000.0,80.19,1510000000.0,4420000000.0,10.03,0.15,0.45,10.74,0.45,3540000000.0,1510000000.0,N/A,4.42,1150000000.0,49.20,1150000000.0,9.25,4170000000.0,1.55,11.75,106230000.0,1510000000.0,5.07,114.55,N/A,10.6,72.47,69700000.0,N/A
51,2020_09_13,N/A,bby,N/A,N/A,N/A,N/A,N/A,110.99,17.46,0.65,7.36,3.75,4.96,8.31,27790000000.0,166.60,27790000000.0,26680000000.0,15.97,1.85,0.61,8.83,0.61,10050000000.0,27790000000.0,N/A,6.18,81.50,3.90,5430000000.0,20.98,4190000000.0000005,1.06,14.64,5730000000.0,27790000000.0,14.84,81.63,N/A,1.95,2.69,5870000.0,N/A
52,2020_09_13,N/A,bdx,N/A,N/A,N/A,N/A,N/A,79.77,82.75,3.85,2.83,5.37,14.28,2.84,67879999999.99999,61.74,67879999999.99999,83700000000.0,18.02,2.53,4.95,23.64,4.95,8289999999.999999,67879999999.99999,N/A,2.84,36.60,11.40,2900000000.0,10.02,19160000000.0,1.46,82.86,3430000000.0,67879999999.99999,0.17,89.53,N/A,1.71,1.04,2250000.0,N/A
53,2020_09_13,N/A,beam,N/A,N/A,N/A,N/A,N/A,15.68,5.77,5.77,5.77,0.00,645.85,25.76,1330000000.0,0.00,1330000000.0,1140000000.0,5.77,5.77,11.64,11.64,11.64,94880000.0,1330000000.0,N/A,5.08,227950000.0,0.00,227950000.0,4.57,36190000.0,6.03,4.65,85020000.0,1330000000.0,13.61,23.31,N/A,4.71,9.45,2370000.0,N/A
54,2020_09_13,N/A,ben,N/A,N/A,N/A,N/A,N/A,8.52,9.79,1.84,0.98,19.04,25.72,5.76,9940000000.0,10.92,9940000000.0,4600000000.0,7.91,1.70,0.85,3.44,0.85,2380000000.0,9940000000.0,N/A,2.05,18.10,19.50,6400000000.0,12.93,997800000.0,5.32,20.42,678900000.0,9940000000.0,45.85,52.24,N/A,9.89,10.68,31990000.0,N/A
55,2020_09_13,N/A,bf-b,N/A,N/A,N/A,N/A,N/A,125.81,39.78,11.41,17.71,28.81,33.37,12.14,36920000000.0,7.01,36920000000.0,38710000000.0,45.87,4.96,11.56,29.71,11.56,2130000000.0,36920000000.0,N/A,2.00,74.20,1.70,1.9,1.9,2700000000.0,3.34,4.49,485120000.0,36920000000.0,2.39,51.74,N/A,2.18,2.18,7180000.0,N/A
56,2020_09_13,N/A,big,N/A,N/A,N/A,N/A,N/A,140.78,2.56,0.32,1.39,12.33,5.13,5.10,1840000000.0,149.81,1840000000.0,2660000000.0,0.32,0.32,0.45,2.38,0.45,2109999999.9999998,1840000000.0,N/A,18.33,215.80,31.30,898560000.0,22.89,1870000000.0,1.58,33.84,649070000.0,1840000000.0,2.18,108.26,N/A,5.19,28.11,7910000.0,N/A
57,2020_09_13,N/A,biib,N/A,N/A,N/A,N/A,N/A,69.43,7.83,3.20,3.73,40.91,52.36,18.31,42190000000.0,83.38,42190000000.0,45700000000.0,8.58,6.24,3.15,5.63,3.15,12420000000.0,42190000000.0,N/A,34.04,3.20,1.80,4330000000.0,13.67,7840000000.0,2.46,71.44,7070000000.0,42190000000.0,0.66,93.15,N/A,2.63,2.10,2550000.0,N/A
58,2020_09_13,N/A,bk,N/A,N/A,N/A,N/A,N/A,44.21,7.70,2.04,0.80,26.77,34.17,1.07,31510000000.0,18.16,31510000000.0,7.70,9.19,2.42,1.00,1.00,1.00,16489999999.999998,31510000000.0,N/A,4.64,6.60,1.70,184710000000.0,208.51,73260000000.0,44.21,44.21,7740000000.0,31510000000.0,0.23,86.89,N/A,1.55,0.75,9160000.0,N/A
59,2020_09_13,N/A,blk,N/A,N/A,N/A,N/A,N/A,24.20,19.13,5.65,2.53,29.55,34.60,2.03,82850000000.0,97.04,82850000000.0,84570000000.0,16.69,4.66,5.63,13.83,5.63,7410000000.0,82850000000.0,N/A,28.42,21.00,3.50,8300000000.000001,54.45,8240000000.0,1.55,214.68,2960000000.0,82850000000.0,3.32,84.87,N/A,3.22,1.27,1770000.0,N/A
60,2020_09_13,N/A,bll,N/A,N/A,N/A,N/A,N/A,279.93,74.31,2.41,9.58,3.28,10.61,4.43,26450000000.0,34.41,26450000000.0,33549999999.999996,26.11,3.60,2.98,24.49,2.98,2270000000.0,26450000000.0,N/A,1.09,52.30,7.20,1.97,1.97,7920000000.0,0.97,8.46,1060000000.0,26450000000.0,0.68,84.87,N/A,6.09,3.48,9620000.0,N/A
61,2020_09_13,N/A,bmy,N/A,N/A,N/A,N/A,N/A,96.64,93.81,3.38,2.68,1.61,21.69,5.16,131380000000.0,17.28,131380000000.0,157100000000.0,7.75,0.80,4.51,15.41,4.51,18930000000.0,131380000000.0,N/A,0.28,21790000000.0,61.50,21790000000.0,9.67,47510000000.0,1.47,21.78,12760000000.0,131380000000.0,0.11,79.09,N/A,1.63,0.66,20700000.0,N/A
62,2020_09_13,N/A,brk-b,N/A,N/A,N/A,N/A,N/A,26.86,24.19,2.04,1.32,8.90,17.35,3.50,520490000000.0,904.75,520490000000.0,596500000000.0,12.90,0.26,2.29,0.81,2.29,105480000000.0,520490000000.0,N/A,690.33,86.80,10.60,146590000000.0,071.84,106690000000.0,1.91,764.80,39390000000.0,520490000000.0,0.18,68.84,N/A,2.34,0.95,14380000.0,N/A
