,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2020_09_13,N/A,a,N/A,N/A,N/A,N/A,N/A,50.35,44.40,5.89,6.10,13.23,19.38,6.96,30390000000.0,16.92,30390000000.0,31360000000.0,27.40,2.66,6.00,26.62,6.00,2810000000.0,30390000000.0,N/A,2.21,4.20,1.00,1360000000.0,4.41,2510000000.0,2.47,16.14,755500000.0,30390000000.0,0.37,89.39,N/A,2.82,1.20,3970000.0,N/A
1,2020_09_13,N/A,aa,N/A,N/A,N/A,N/A,N/A,36.61,65.79,0.27,0.69,6.72,4.00,1.66,2560000000.0,51.38,2560000000.0,3400000000.0,65.79,0.27,0.36,5.93,0.36,1920000000.0,2560000000.0,N/A,3.46,5.19,20.80,5.19,5.19,1950000000.0,1.42,19.93,975250000.0,2560000000.0,0.38,77.21,N/A,2.49,7.85,12420000.0,N/A
2,2020_09_13,N/A,aapl,N/A,N/A,N/A,N/A,N/A,169.04,34.42,7.35,26.85,21.33,24.52,13.12,995150000000.0,15.58,995150000000.0,943180000000.0,28.41,2.70,7.16,23.65,7.16,98390000000.0,995150000000.0,N/A,3.30,12.00,10.90,93030000000.0,5.44,122190000000.0,1.47,4.22,80010000000.0,995150000000.0,0.07,62.12,N/A,0.39,0.47,106010000.0,N/A
3,2020_09_13,N/A,abbv,N/A,N/A,N/A,N/A,N/A,593.80,19.62,3.78,10.76,19.20,37.55,8.23,158220000000.0,23.79,158220000000.0,239610000000.0,7.37,1.28,6.61,18.66,6.61,25830000000.0,158220000000.0,N/A,4.52,6050000000.0,26.30,6050000000.0,3.43,87480000000.0,0.86,8.34,14730000000.0,158220000000.0,0.11,76.76,N/A,1.77,0.69,13240000.0,N/A
4,2020_09_13,N/A,abc,N/A,N/A,N/A,N/A,N/A,117.49,12.45,0.11,4.99,0.84,0.99,2.90,19240000000.0,900.74,19240000000.0,19960000000.0,11.35,3.12,0.11,12.58,0.11,4990000000.0,19240000000.0,N/A,7.53,4.10,0.30,3420000000.0,16.75,4660000000.0,0.98,18.91,1580000000.0,19240000000.0,27.78,67.90,N/A,4.02,2.26,3770000.0,N/A
5,2020_09_13,N/A,abt,N/A,N/A,N/A,N/A,N/A,63.90,60.47,5.90,6.02,9.89,14.00,4.01,184140000000.0,17.76,184140000000.0,198780000000.0,25.38,3.51,6.32,27.35,6.32,18710000000.0,184140000000.0,N/A,1.73,46.60,8.20,5040000000.0,2.85,19680000000.0,1.57,17.27,6400000000.0,184140000000.0,0.73,77.18,N/A,1.82,0.60,12710000.0,N/A
6,2020_09_13,N/A,aci,N/A,N/A,N/A,N/A,N/A,527.84,6.78,0.10,5.67,1.51,2.64,4.30,6770000000.0,115.29,6770000000.0,19420000000.0,7.64,0.96,0.29,4.65,0.29,17590000000.0,6770000000.0,N/A,096.30,096.30,21.40,2040000000.0,4.25,14750000000.0,1.06,3190000000.0,3190000000.0,6770000000.0,14.94,73.63,N/A,3.92,4.72,5900000.0,N/A
7,2020_09_13,N/A,acn,N/A,N/A,N/A,N/A,N/A,21.31,30.58,3.40,9.29,11.11,14.68,12.93,148860000000.0,69.98,148860000000.0,145920000000.0,28.99,3.40,3.28,18.01,3.28,13310000000.0,148860000000.0,N/A,7.64,1.70,1.00,6450000000.0,10.13,3510000000.0,1.37,25.18,7180000000.0,148860000000.0,0.19,74.68,N/A,3.49,0.82,6030000.0,N/A
8,2020_09_13,N/A,adbe,N/A,N/A,N/A,N/A,N/A,43.17,62.83,19.30,20.99,30.71,31.36,11.44,228450000000.0,24.92,228450000000.0,228790000000.0,42.92,2.23,18.99,49.87,18.99,9500000000.0,228450000000.0,N/A,7.58,73.80,14.00,4350000000.0,9.07,4700000000.0,1.29,22.67,4810000000.0,228450000000.0,0.29,89.10,N/A,1.57,0.84,4270000.0,N/A
9,2020_09_13,N/A,adi,N/A,N/A,N/A,N/A,N/A,52.39,38.22,7.70,3.59,20.14,26.89,4.30,42230000000.0,14.98,42230000000.0,46730000000.0,20.24,2.24,8.47,21.32,8.47,4010000000.0,42230000000.0,N/A,2.99,0.10,1.60,1090000000.0,2.95,6170000000.0,1.47,31.90,1990000000.0,42230000000.0,0.33,91.45,N/A,5.3,4.53,11410000.0,N/A
10,2020_09_13,N/A,adm,N/A,N/A,N/A,N/A,N/A,53.12,14.66,0.40,1.33,2.75,2.65,2.45,25570000000.0,114.53,25570000000.0,33780000000.0,13.48,1.88,0.53,10.31,0.53,4150000000.0000005,25570000000.0,N/A,3.14,99.60,0.10,1210000000.0,2.18,10300000000.0,1.72,34.70,3180000000.0,25570000000.0,0.44,80.70,N/A,3.56,1.37,8530000.0,N/A
11,2020_09_13,N/A,adp,N/A,N/A,N/A,N/A,N/A,42.73,23.14,3.91,9.86,16.91,22.54,5.07,56710000000.0,33.87,56710000000.0,57150000000.0,25.84,2.99,3.92,15.16,3.92,6510000000.0,56710000000.0,N/A,5.70,13.40,2.90,1910000000.0,4.44,2460000000.0,1.05,13.38,3030000000.0,56710000000.0,0.14,82.28,N/A,2.38,1.20,4019999.9999999995,N/A
