,A,AA,AAPL,ABBV,ABC,ABT,ACE,ACI,ACN
2000-12-12,39.058279278379,,0.98827218053277,,8.5516525262254,14.702671725459,29.969097611024328,41.361718177433445,
2000-12-13,39.699585523299,,0.96385453237917,,8.7474283025199,15.177234949114,28.541997724785073,41.361718177433445,
2000-12-14,40.422760650549,,0.92787062983701,,8.9806930572537,14.099214786737,27.828447781665446,41.361718177433445,
2000-12-15,38.805850224527,,0.90345298168341,,9.5805167122837,13.712533641537,27.157710835133,40.0548973094477,
2000-12-18,38.887719106857,,0.91566180576021,,10.022053569458,14.518119360704,28.18522275322526,41.88528423031235,
2000-12-19,38.928653548022,,0.89959756355389,,10.321965396973,14.737824556841,26.85088435959156,42.136595935694224,
2000-12-20,35.817636019474,,0.9240152117075,,9.9845645910191,14.298414164568,26.40134789542619,41.88528423031235,
2000-12-21,35.053526451058,,0.90345298168341,,10.061625268922,14.099214786737,28.898772696344885,45.02668054758578,
2000-12-22,37.311743122,,0.96385453237917,,10.401108795901,13.879509590601,28.855959699757708,46.07381265334358,
2000-12-26,36.499876705559,,0.94393487204333,,10.542733825561,14.116791202428,29.926284614437147,53.655049099030116,
2000-12-27,38.164543979607,,0.95164570830237,,10.790577627466,14.225179099189,30.511395567795248,56.293822005539795,
2000-12-28,37.734732347373,,0.95164570830237,,10.959278030443,14.207602683498,30.640226231698676,60.482350428571024,
2000-12-29,37.352677563166,,0.95614369612013,,10.517741173268,14.190026267807,30.37540764478607,59.18390661743135,
2001-01-02,34.712406108016,,0.95614369612013,,10.401108795901,14.099214786737,29.523693811202296,55.74931331054574,
2001-01-03,38.294169709963,,1.0518865796698,,10.609380898342,13.785768706916,28.185286358427792,56.54513371092167,
2001-01-04,39.740519964464,,1.0962238881592,,9.7367207891144,12.523196179784,26.66079016890389,56.293822005539795,
2001-01-05,37.564172175852,,1.0518865796698,,9.3972372621356,12.596431245163,27.154641047200364,58.38808621705541,
2001-01-08,36.329316534038,,1.0640954037466,,9.9720682648726,12.467537530096,27.333572524844016,57.3409541112976,
2001-01-09,36.158756362516,,1.1045772941065,,9.9970609171656,12.742901375921,26.12399573597294,57.59226581667948,
2001-01-10,37.734732347373,,1.0640954037466,,10.361537096437,12.523196179784,26.03810862670399,58.13677451167354,
2001-01-11,39.269773891065,,1.156625438855,,10.009557243312,12.376072164514,25.76613278068564,62.32530293470477,
2001-01-12,38.294169709963,,1.1045772941065,,10.230325671899,12.817444210324,24.914418947101865,59.18390661743135,
2001-01-16,39.699585523299,,1.1000793062888,,10.180340367314,13.241161374302,26.03810862670399,60.98497383933478,
2001-01-17,42.257988096118,,1.0801596459529,,10.205333019607,13.020475351397,25.14345123848574,59.686530028195094,
2001-01-18,46.092180751917,,1.2009627473444,,9.3597482836962,13.258816256134,26.12399573597294,59.937841733576974,
2001-01-19,44.727699379747,,1.2530108920929,,8.7599246286663,12.964568225594,25.45121338003282,60.23103872318916,
2001-01-22,42.810603051847,,1.2369466498866,,9.1889651596947,13.002820469564,26.753834537278593,58.63939792243728,
2001-01-23,42.810603051847,,1.3172678609182,,9.7242244629679,12.946913343762,27.555447557122143,58.63939792243728,
2001-01-24,39.569959792942,,1.3172678609182,,9.4763806610632,12.726227320857,27.59839111175662,58.63939792243728,
2001-01-25,37.693797906208,,1.281283958376,,9.8679322136522,13.426537633542,27.870366957774966,59.43521832281322,
2001-01-26,37.270808680835,,1.2568663102224,,9.8283605141884,13.591316530645,27.512504002487663,60.482350428571024,
2001-01-29,37.127538136757,,1.3937336538203,,10.157430436045,13.373572988045,27.619862889073858,59.89595644934666,
2001-01-30,37.352677563166,,1.3975890719498,,9.9949781961411,13.255873775829,26.975709569556713,58.63939792243728,
2001-01-31,37.216229425948,,1.3892356660025,,9.9616546597506,13.199966650026,26.481858691260243,60.31480929164978,
2001-02-01,36.704548911385,,1.3571071815899,,9.8929248659451,13.535409404842,26.066737663126975,73.88564138227099,
